fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
81;0,0520;0,0520;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;4,0120;0,1000;0,0000;0,0000;0,0000;0,5000;0,0000;1,0000;0,2670;0,6250;1,0000;0,4240
82;0,6812;0,6812;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;0,7670;9,8306;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;1,0000;0,2910;0,7060;1,0000;0,4170
83;0,2909;0,2909;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;10,6770;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;2,0000;0,1190;0,6840;2,0000;0,3740
84;0,2661;0,2661;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;1,0000;13,1543;0,1000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1590;0,6570;0,0000;0,3660
85;0,1207;0,1207;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0310;2,0000;1,0000;11,7606;0,1000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,2870;0,6340;0,0000;0,3380
86;0,0981;0,0981;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,9640;9,6424;0,1000;0,0000;0,0000;0,0000;0,2000;0,0000;0,0000;0,1200;0,6300;0,0000;0,2820
87;0,1406;0,1406;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,9890;5,5849;0,1000;0,0000;0,0000;0,1000;0,1000;0,0000;0,0000;0,0720;0,6300;0,0000;0,2950
88;0,3533;0,3533;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,9320;10,1803;0,3000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,1920;0,6300;0,0000;0,3140
89;0,6717;0,6717;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;6,8779;0,3000;0,1000;0,0000;0,0000;0,1000;0,0000;0,0000;0,2550;0,6300;0,0000;0,3970
90;0,1579;0,1579;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,0400;0,0000;0,4000;0,0000;0,0000;0,0000;0,1000;0,0000;0,0000;0,0080;0,6180;0,0000;0,2370
